code_experimentation,debitCO2_g,elapsedtime_s
PR13-10-23F13,1.352,224520
PR13-10-23F13,1.304,225720
PR13-10-23F13,1.322,226920
PR13-10-23F13,1.302,228120
PR13-10-23F13,1.285,229320
PR13-10-23F13,1.286,230520
PR13-10-23F13,1.262,231720
PR13-10-23F13,1.272,232920
PR13-10-23F13,1.221,234120
PR13-10-23F13,1.25,235320
PR13-10-23F13,1.211,236520
PR13-10-23F13,1.231,237720
PR13-10-23F13,1.211,238920
PR13-10-23F13,1.201,240120
PR13-10-23F13,1.19,241320
PR13-10-23F13,1.176,242520
PR13-10-23F13,1.19,243720
PR13-10-23F13,1.16,244920
PR13-10-23F13,1.164,246120
PR13-10-23F13,1.147,247320
PR13-10-23F13,1.145,248520
PR13-10-23F13,1.152,249720
PR13-10-23F13,1.112,250980
PR13-10-23F13,1.129,252180
PR13-10-23F13,1.109,253380
PR13-10-23F13,1.093,254580
PR13-10-23F13,1.101,255780
PR13-10-23F13,1.1,256980
PR13-10-23F13,1.08,258180
