code_experimentation,debitCO2_g,elapsedtime_s
PR06-01-23F01,0.205973,221400
PR06-01-23F01,0.208189,222600
PR06-01-23F01,0.20614,223800
PR06-01-23F01,0.209129,225000
PR06-01-23F01,0.211526,226200
PR06-01-23F01,0.208434,227400
PR06-01-23F01,0.20671900000000001,228600
PR06-01-23F01,0.210139,229800
PR06-01-23F01,0.206837,231000
PR06-01-23F01,0.205942,232200
PR06-01-23F01,0.201533,233400
PR06-01-23F01,0.204356,234660
PR06-01-23F01,0.202757,235920
PR06-01-23F01,0.196216,237120
PR06-01-23F01,0.199687,238320
PR06-01-23F01,0.19562,239520
PR06-01-23F01,0.192688,240720
PR06-01-23F01,0.196918,241920
PR06-01-23F01,0.19659,243120
PR06-01-23F01,0.190167,244320
PR06-01-23F01,0.195902,245520
PR06-01-23F01,0.193623,246720
PR06-01-23F01,0.202176,247920
PR06-01-23F01,0.185031,249180
PR06-01-23F01,0.189374,250380
PR06-01-23F01,0.188831,251580
PR06-01-23F01,0.170907,253680
PR06-01-23F01,0.181399,254880
PR06-01-23F01,0.203893,256080
PR06-01-23F01,0.180955,257280
PR06-01-23F01,0.27808,258480
PR06-01-23F01,0.176689,259740
PR06-01-23F01,0.186629,260940
PR06-01-23F01,0.184109,262140
PR06-01-23F01,0.201162,264480
PR06-01-23F01,0.1969,266220
PR06-01-23F01,0.180989,267420
PR06-01-23F01,0.178884,268620
PR06-01-23F01,0.177603,271020
PR06-01-23F01,0.16525,272220
PR06-01-23F01,0.175048,273420
PR06-01-23F01,0.180179,274620
PR06-01-23F01,0.176371,275820
PR06-01-23F01,0.175068,277080
PR06-01-23F01,0.171586,278280
PR06-01-23F01,0.172536,279480
PR06-01-23F01,0.179793,280680
PR06-01-23F01,0.170681,281880
PR06-01-23F01,0.182814,283080
PR06-01-23F01,0.176456,284280
PR06-01-23F01,0.186296,285480
PR06-01-23F01,0.177308,286740
PR06-01-23F01,0.182474,287940
PR06-01-23F01,0.175946,289140
PR06-01-23F01,0.174082,290340
PR06-01-23F01,0.171879,291540
PR06-01-23F01,0.16811,292740
PR06-01-23F01,0.178816,293940
PR06-01-23F01,0.176087,295140
PR06-01-23F01,0.1722,296340
PR06-01-23F01,0.17855,297600
PR06-01-23F01,0.163254,298800
PR06-01-23F01,0.168361,300000
PR06-01-23F01,0.172485,301200
PR06-01-23F01,0.163508,302400
PR06-01-23F01,0.168849,303600
PR06-01-23F01,0.162062,304800
PR06-01-23F01,0.162884,306000
PR06-01-23F01,0.167635,307200
PR06-01-23F01,0.164431,308460
PR06-01-23F01,0.164296,309660
PR06-01-23F01,0.161372,310860
PR06-01-23F01,0.155854,312060
PR06-01-23F01,0.161205,313260
PR06-01-23F01,0.15544,314460
PR06-01-23F01,0.161058,315660
PR06-01-23F01,0.156712,316860
PR06-01-23F01,0.164033,318060
PR06-01-23F01,0.161623,319260
PR06-01-23F01,0.161308,320460
PR06-01-23F01,0.157394,321660
PR06-01-23F01,0.157126,322860
PR06-01-23F01,0.154625,324060
PR06-01-23F01,0.155639,325260
PR06-01-23F01,0.155065,326520
PR06-01-23F01,0.149856,327720
PR06-01-23F01,0.160714,328920
PR06-01-23F01,0.154798,330120
PR06-01-23F01,0.156371,331320
PR06-01-23F01,0.155391,332520
PR06-01-23F01,0.157225,333720
PR06-01-23F01,0.150586,334980
PR06-01-23F01,0.158683,336180
PR06-01-23F01,0.15253,337380
PR06-01-23F01,0.156223,338580
PR06-01-23F01,0.153613,339780
PR06-01-23F01,0.15308,341100
PR06-01-23F01,0.149173,342300
PR06-01-23F01,0.156183,343560
PR06-01-23F01,0.144076,344760
PR06-01-23F01,0.138348,346140
PR06-01-23F01,0.155106,347340
PR06-01-23F01,0.149904,348600
PR06-01-23F01,0.152596,349800
PR06-01-23F01,0.150567,351000
PR06-01-23F01,0.14985,352200
PR06-01-23F01,0.14683,353400
PR06-01-23F01,0.148232,354600
PR06-01-23F01,0.147104,355800
PR06-01-23F01,0.148675,357000
PR06-01-23F01,0.148436,358200
PR06-01-23F01,0.143985,359460
PR06-01-23F01,0.14222,360660
PR06-01-23F01,0.149489,361860
