code_experimentation,debitCO2_g,elapsedtime_s
PR13-10-23F13,0.293,482640
PR13-10-23F13,0.29,483840
PR13-10-23F13,0.288,485040
PR13-10-23F13,0.285,486240
PR13-10-23F13,0.283,487440
PR13-10-23F13,0.28,488640
PR13-10-23F13,0.284,489840
PR13-10-23F13,0.267,491040
PR13-10-23F13,0.278,492240
PR13-10-23F13,0.278,493440
PR13-10-23F13,0.276,494640
PR13-10-23F13,0.274,495840
PR13-10-23F13,0.277,497040
PR13-10-23F13,0.266,498240
PR13-10-23F13,0.273,499440
PR13-10-23F13,0.274,500640
PR13-10-23F13,0.272,501840
PR13-10-23F13,0.269,503040
PR13-10-23F13,0.265,504240
PR13-10-23F13,0.262,505440
PR13-10-23F13,0.26,506640
PR13-10-23F13,0.257,507840
PR13-10-23F13,0.254,509040
PR13-10-23F13,0.259,510240
PR13-10-23F13,0.259,511440
PR13-10-23F13,0.255,512640
PR13-10-23F13,0.251,513840
PR13-10-23F13,0.248,515040
PR13-10-23F13,0.245,516240
PR13-10-23F13,0.242,517440
PR13-10-23F13,0.24,518640
PR13-10-23F13,0.241,519840
PR13-10-23F13,0.237,521040
PR13-10-23F13,0.245,522240
PR13-10-23F13,0.24,523440
PR13-10-23F13,0.237,524640
PR13-10-23F13,0.235,525840
PR13-10-23F13,0.231,527040
PR13-10-23F13,0.23,528240
PR13-10-23F13,0.226,529440
PR13-10-23F13,0.226,530640
PR13-10-23F13,0.228,531840
PR13-10-23F13,0.225,533040
PR13-10-23F13,0.222,534240
PR13-10-23F13,0.22,535440
PR13-10-23F13,0.221,536640
PR13-10-23F13,0.22,537840
PR13-10-23F13,0.218,539040
PR13-10-23F13,0.219,540240
PR13-10-23F13,0.22,541440
PR13-10-23F13,0.213,542640
PR13-10-23F13,0.215,543840
PR13-10-23F13,0.212,545040
PR13-10-23F13,0.209,546240
PR13-10-23F13,0.217,547440
PR13-10-23F13,0.206,548640
PR13-10-23F13,0.21,549840
PR13-10-23F13,0.206,551040
PR13-10-23F13,0.205,552240
PR13-10-23F13,0.205,553500
PR13-10-23F13,0.204,554700
PR13-10-23F13,0.206,555900
PR13-10-23F13,0.208,557100
